Date,Parameter ,Value,Approval Name,Grade Name
2021-05-20 16:20,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:30,47,158,APPROVED,UNSPECIFIED
2021-05-20 16:35,47,158,APPROVED,UNSPECIFIED
2021-05-20 16:40,47,158,APPROVED,UNSPECIFIED
2021-05-20 16:45,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:50,47,157,APPROVED,UNSPECIFIED
2021-05-20 16:55,47,158,APPROVED,UNSPECIFIED
2021-05-20 17:00,47,158,APPROVED,UNSPECIFIED
2021-05-20 17:05,47,158,APPROVED,UNSPECIFIED
2021-05-20 17:10,47,158,APPROVED,UNSPECIFIED
2021-05-20 17:15,47,158,APPROVED,UNSPECIFIED
2021-05-20 17:20,47,158,APPROVED,UNSPECIFIED
2021-05-20 17:25,47,157,APPROVED,UNSPECIFIED
2021-05-20 17:30,47,157,APPROVED,UNSPECIFIED
2021-05-20 17:35,47,157,APPROVED,UNSPECIFIED
2021-05-20 17:40,47,156,APPROVED,UNSPECIFIED
2021-05-20 17:45,47,156,APPROVED,UNSPECIFIED
2021-05-20 17:50,47,155,APPROVED,UNSPECIFIED
2021-05-20 17:55,47,155,APPROVED,UNSPECIFIED
2021-05-20 18:00,47,155,APPROVED,UNSPECIFIED
2021-05-20 18:05,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:10,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:15,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:20,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:25,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:30,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:35,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:40,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:45,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:50,47,154,APPROVED,UNSPECIFIED
2021-05-20 18:55,47,154,APPROVED,UNSPECIFIED
2021-05-20 19:00,47,154,APPROVED,UNSPECIFIED
2021-05-20 19:05,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:10,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:15,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:20,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:25,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:30,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:35,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:40,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:45,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:50,47,153,APPROVED,UNSPECIFIED
2021-05-20 19:55,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:00,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:05,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:10,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:15,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:20,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:25,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:30,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:35,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:40,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:45,47,153,APPROVED,UNSPECIFIED
2021-05-20 20:50,47,154,APPROVED,UNSPECIFIED
2021-05-20 20:55,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:00,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:05,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:10,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:15,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:20,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:25,47,154,APPROVED,UNSPECIFIED
2021-05-20 21:30,47,153,APPROVED,UNSPECIFIED
2021-05-20 21:35,47,153,APPROVED,UNSPECIFIED
2021-05-20 21:40,47,153,APPROVED,UNSPECIFIED
2021-05-20 21:45,47,153,APPROVED,UNSPECIFIED
2021-05-20 21:50,47,153,APPROVED,UNSPECIFIED
2021-05-20 21:55,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:00,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:05,47,153,APPROVED,UNSPECIFIED
2021-05-20 22:10,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:15,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:20,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:25,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:30,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:35,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:40,47,152,APPROVED,UNSPECIFIED
2021-05-20 22:45,47,152,APPROVED,UNSPECIFIED
